ConnectorChannelNum,DeviceChannelNum,PackageID,SiteOrientationNum
41,30,13,25
41,14,1,1
41,31,16,31
41,11,27,12
41,17,30,6
41,10,8,15
41,20,7,13
41,21,17,32
41,24,9,17
41,9,31,4
41,12,2,3
41,13,23,20
41,16,10,19
41,2,4,7
41,3,11,21
41,6,6,11
41,7,12,23
41,23,28,10
41,22,5,9
41,19,18,30
41,15,29,8
41,18,15,29
41,8,32,2
41,25,19,28
41,5,22,22
41,28,26,14
41,4,25,16
41,29,20,26
41,32,24,18
42,26,14,6
42,27,3,5
42,1,21,25
42,30,13,8
42,14,1,1
42,31,16,2
42,11,27,28
42,17,30,22
42,10,8,15
42,20,7,13
42,21,17,17
42,24,9,16
42,9,31,20
42,12,2,3
42,13,23,29
42,16,10,14
42,2,4,7
42,3,11,12
42,6,6,11
42,7,12,10
42,23,28,26
42,22,5,9
42,19,18,19
42,15,29,24
42,18,15,4
42,8,32,18
42,25,19,21
42,5,22,27
42,28,26,30
42,4,25,32
42,29,20,23
42,32,24,31
43,8,32,26
43,10,8,2
43,15,29,32
43,18,15,12
43,7,12,15
43,24,9,9
43,19,18,19
43,32,24,18
43,31,16,10
43,26,14,14
43,5,22,22
43,4,25,25
43,25,19,21
43,3,11,13
43,27,3,5
43,22,5,8
43,11,27,29
43,13,23,20
43,6,6,6
43,2,4,7
43,1,21,24
43,29,20,23
43,14,1,1
43,30,13,16
43,20,7,4
43,23,28,31
43,9,31,28
43,28,26,27
43,21,17,17
43,12,2,3
43,16,10,11
43,17,30,30
44,26,14,14
44,27,3,5
44,1,21,24
44,30,13,16
44,14,1,1
44,31,16,10
44,11,27,29
44,17,30,30
44,10,8,2
44,20,7,4
44,21,17,17
44,24,9,9
44,9,31,28
44,12,2,3
44,13,23,20
44,16,10,11
44,2,4,7
44,3,11,13
44,6,6,6
44,7,12,15
44,23,28,31
44,22,5,8
44,19,18,19
44,15,29,32
44,18,15,12
44,8,32,26
44,25,19,21
44,5,22,22
44,28,26,27
44,4,25,25
44,29,20,23
44,32,24,18
45,26,14,9
45,27,3,4
45,1,21,21
